Date,Precipitation
2021-12-01,0.0
2021-12-02,0.0
2021-12-03,0.0
2021-12-04,0.0
2021-12-05,0.0
2021-12-06,0.01
2021-12-07,0.02
2021-12-08,0.0
2021-12-09,0.1
2021-12-10,0.0
2021-12-11,0.0
2021-12-12,0.0
2021-12-13,2.23
2021-12-14,0.11
2021-12-15,0.0
2021-12-16,0.09
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.1
2021-12-22,0.06
2021-12-23,0.27
2021-12-24,0.53
2021-12-25,0.3
2021-12-26,0.0
2021-12-27,0.26
2021-12-28,0.0
2021-12-29,0.27
2021-12-30,0.0
2021-12-31,0.0
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.0
