DateTime,Elevation,Storage,Capacity
12/1/21 0:00,486.6,318.8,10.4
12/1/21 6:00,486.6,318.8,10.4
12/1/21 12:00,486.6,318.8,10.4
12/1/21 18:00,486.6,318.8,10.4
12/2/21 0:00,486.6,318.8,10.4
12/2/21 6:00,486.6,318.8,10.4
12/2/21 12:00,486.6,318.8,10.4
12/2/21 18:00,486.6,318.8,10.4
12/3/21 0:00,486.6,318.8,10.4
12/3/21 6:00,486.6,318.8,10.4
12/3/21 12:00,486.6,318.8,10.4
12/3/21 18:00,486.6,318.8,10.4
12/4/21 0:00,486.6,318.8,10.4
12/4/21 6:00,486.6,318.8,10.4
12/4/21 12:00,486.6,318.8,10.4
12/4/21 18:00,486.6,318.8,10.4
12/5/21 0:00,486.6,318.8,10.4
12/5/21 6:00,486.6,318.8,10.4
12/5/21 12:00,486.6,318.8,10.4
12/5/21 18:00,486.6,318.8,10.4
12/6/21 0:00,486.6,318.8,10.4
12/6/21 6:00,486.6,318.8,10.4
12/6/21 12:00,486.6,318.8,10.4
12/6/21 18:00,486.6,318.8,10.4
12/7/21 0:00,486.6,318.8,10.4
12/7/21 6:00,486.6,318.8,10.4
12/7/21 12:00,486.6,318.8,10.4
12/7/21 18:00,486.6,318.8,10.4
12/8/21 0:00,486.6,318.8,10.4
12/8/21 6:00,486.6,318.8,10.4
12/8/21 12:00,486.6,318.8,10.4
12/8/21 18:00,486.7,321.3,10.5
12/9/21 0:00,486.6,318.8,10.4
12/9/21 6:00,486.7,321.3,10.5
12/9/21 12:00,486.7,321.3,10.5
12/9/21 18:00,486.7,321.3,10.5
12/10/21 0:00,486.7,321.3,10.5
12/10/21 6:00,486.7,321.3,10.5
12/10/21 12:00,486.7,321.3,10.5
12/10/21 18:00,486.7,321.3,10.5
12/11/21 0:00,486.7,321.3,10.5
12/11/21 6:00,486.7,321.3,10.5
12/11/21 12:00,486.7,321.3,10.5
12/11/21 18:00,486.7,321.3,10.5
12/12/21 0:00,486.7,321.3,10.5
12/12/21 6:00,486.7,321.3,10.5
12/12/21 12:00,486.7,321.3,10.5
12/12/21 18:00,486.7,321.3,10.5
12/13/21 0:00,486.7,321.3,10.5
12/13/21 6:00,486.9,326.2,10.7
12/13/21 12:00,487.9,351.4,11.5
12/13/21 18:00,490.5,421.6,13.8
12/14/21 0:00,493.4,511,16.7
12/14/21 6:00,495.3,574.8,18.8
12/14/21 12:00,496.3,610.7,20
12/14/21 18:00,496.9,632.9,20.7
12/15/21 0:00,497.2,644.2,21.1
12/15/21 6:00,497.5,655.6,21.5
12/15/21 12:00,497.7,663.3,21.7
12/15/21 18:00,497.9,671,22
12/16/21 0:00,498.1,678.8,22.2
12/16/21 6:00,498.6,698.5,22.9
12/16/21 12:00,499.5,734.8,24
12/16/21 18:00,500,755.4,24.7
12/17/21 0:00,500.3,767.9,25.1
12/17/21 6:00,500.6,780.5,25.5
12/17/21 12:00,500.8,788.9,25.8
12/17/21 18:00,501,797.5,26.1
12/18/21 0:00,501.1,801.8,26.2
12/18/21 6:00,501.2,806.1,26.4
12/18/21 12:00,501.4,814.7,26.7
12/18/21 18:00,501.5,819,26.8
12/19/21 0:00,501.6,823.4,26.9
12/19/21 6:00,501.6,823.4,26.9
12/19/21 12:00,501.7,827.8,27.1
12/19/21 18:00,501.8,832.1,27.2
12/20/21 0:00,501.9,836.5,27.4
12/20/21 6:00,501.9,836.5,27.4
12/20/21 12:00,502,840.9,27.5
